Job Type,Job Description,Location,Link,Date Posted
UC San Diego,Triton Testing Center Assistant Coordinator / STDT 4,"San Diego, CA + 1",https://ucsd.joinhandshake.com/stu/jobs/9297450?ref=open-in-new-tab&search_id=1eec77f0-57e4-4260-b786-67fb9622d579,4d ago
UC San Diego,ECE Student Affairs Office Worker (Jones) / STDT 3,"La Jolla, CA",https://ucsd.joinhandshake.com/stu/jobs/9298058?ref=open-in-new-tab&search_id=1eec77f0-57e4-4260-b786-67fb9622d579,4d ago
UC San Diego,RRSS HR Student Assistant / STDT 4,"La Jolla, CA",https://ucsd.joinhandshake.com/stu/jobs/9300848?ref=open-in-new-tab&search_id=1eec77f0-57e4-4260-b786-67fb9622d579,3d ago
UC San Diego,Online Student Experience - Student Admin / STDT 3 (Work Study 2024-2025),"La Jolla, CA",https://ucsd.joinhandshake.com/stu/jobs/9302301?ref=open-in-new-tab&search_id=1eec77f0-57e4-4260-b786-67fb9622d579,New
UC San Diego,Library Assistant - West Wing Collections Employee / STDT 3,"La Jolla, CA",https://ucsd.joinhandshake.com/stu/jobs/9281502?ref=open-in-new-tab&search_id=1eec77f0-57e4-4260-b786-67fb9622d579,1wk ago
UC San Diego,CSI Student Organizations & Events Program Assistant / STDT 3,"La Jolla, CA",https://ucsd.joinhandshake.com/stu/jobs/9290656?ref=open-in-new-tab&search_id=1eec77f0-57e4-4260-b786-67fb9622d579,5d ago
UC San Diego,Cups Coffee Co-Cafe Barista / STDT 2,"La Jolla, CA",https://ucsd.joinhandshake.com/stu/jobs/9286405?ref=open-in-new-tab&search_id=1eec77f0-57e4-4260-b786-67fb9622d579,6d ago
UC San Diego,Makerspace Lab Intern (Lesser) / STDT 4,"San Diego, CA + 1",https://ucsd.joinhandshake.com/stu/jobs/9266500?ref=open-in-new-tab&search_id=1eec77f0-57e4-4260-b786-67fb9622d579,1wk ago
UC San Diego,Student Administrative Assistant / STDT 4 (Work Study 2024-2025),"San Diego, CA + 1",https://ucsd.joinhandshake.com/stu/jobs/9272137?ref=open-in-new-tab&search_id=1eec77f0-57e4-4260-b786-67fb9622d579,1wk ago
UC San Diego,SCH OF PHARMACY AND PHARM. SCI - Student Communications Specialist (Dorrestein) / STDT 3,"La Jolla, CA",https://ucsd.joinhandshake.com/stu/jobs/9296850?ref=open-in-new-tab&search_id=1eec77f0-57e4-4260-b786-67fb9622d579,4d ago
